lambda,flux
5281.1876,7.096969e-14
5282.9334,7.142977e-14
5284.6792,7.100970e-14
5286.4250,7.045960e-14
5288.1708,6.973946e-14
5289.9166,6.870927e-14
5291.6624,6.808916e-14
5293.4082,6.808916e-14
5295.1539,6.843923e-14
5296.8997,6.938940e-14
5298.6455,7.050960e-14
5300.3913,7.286904e-14
5302.1371,7.267900e-14
5303.8829,7.229993e-14
5305.6287,7.133976e-14
5307.3745,7.077966e-14
5309.1203,7.087968e-14
5310.8660,7.139977e-14
5312.6118,7.034958e-14
5314.3576,6.895932e-14
5316.1034,6.788912e-14
5317.8492,6.661989e-14
5319.5950,6.435947e-14
5321.3408,6.326928e-14
5323.0866,6.249913e-14
5324.8324,6.316925e-14
5326.5781,6.398940e-14
