lambda,flux
3938.6759,1.814095e-14
3940.4217,2.017033e-14
3942.1675,2.185064e-14
3943.9133,2.290083e-14
3945.6590,2.318088e-14
3947.4048,2.302085e-14
3949.1506,2.248075e-14
3950.8964,2.093047e-14
3952.6422,1.897011e-14
3954.3880,1.683071e-14
3956.1338,1.494036e-14
3957.8796,1.240089e-14
3959.6254,1.079060e-14
3961.3711,1.044053e-14
3963.1169,1.113066e-14
3964.8627,1.282097e-14
3966.6085,1.553047e-14
3968.3543,1.894010e-14
3970.1001,2.190065e-14
3971.8459,2.424008e-14
3973.5917,2.609042e-14
3975.3375,2.715061e-14
3977.0833,2.853087e-14
3978.8290,2.955006e-14
3980.5748,3.023018e-14
3982.3206,3.081029e-14
3984.0664,3.138039e-14
3985.8122,3.139039e-14
3987.5580,3.215053e-14
3989.3038,3.230056e-14
3991.0496,3.301069e-14
3992.7954,3.321073e-14
3994.5411,3.276065e-14
3996.2869,3.263062e-14
3998.0327,3.290067e-14
3999.7785,3.359080e-14
4001.5243,3.427093e-14
4003.2701,3.478002e-14
4005.0159,3.590023e-14
4006.7617,3.692041e-14
4008.5075,3.698043e-14
4010.2532,3.727048e-14
4011.9990,3.693042e-14
4013.7448,3.655035e-14
4015.4906,3.670038e-14
4017.2364,3.608026e-14
4018.9822,3.621028e-14
4020.7280,3.510008e-14
4022.4738,3.401088e-14
4024.2196,3.349078e-14
4025.9653,3.272064e-14
4027.7111,3.273064e-14
4029.4569,3.339076e-14
4031.2027,3.408089e-14
4032.9485,3.407089e-14
4034.6943,3.320073e-14
4036.4401,3.258061e-14
4038.1859,3.233057e-14
4039.9317,3.226055e-14
4041.6774,3.282066e-14
4043.4232,3.408089e-14
4045.1690,3.429093e-14
4046.9148,3.434094e-14
4048.6606,3.330075e-14
4050.4064,3.242059e-14
4052.1522,3.191049e-14
4053.8980,3.121036e-14
4055.6438,3.119036e-14
4057.3895,3.117036e-14
4059.1353,3.151042e-14
4060.8811,3.214053e-14
4062.6269,3.245059e-14
4064.3727,3.232057e-14
4066.1185,3.235057e-14
4067.8643,3.187049e-14
4069.6101,3.217054e-14
4071.3559,3.288067e-14
4073.1016,3.334076e-14
4074.8474,3.464099e-14
4076.5932,3.555016e-14
4078.3390,3.730048e-14
4080.0848,3.825066e-14
4081.8306,3.815064e-14
4083.5764,3.744051e-14
4085.3222,3.669037e-14
4087.0680,3.527011e-14
4088.8137,3.431093e-14
4090.5595,3.307070e-14
4092.3053,3.169045e-14
4094.0511,3.083029e-14
4095.7969,3.038021e-14
4097.5427,3.135039e-14
4099.2885,3.279065e-14
4101.0343,3.397087e-14
4102.7801,3.453098e-14
4104.5258,3.462099e-14
4106.2716,3.497006e-14
4108.0174,3.473001e-14
4109.7632,3.442095e-14
4111.5090,3.359080e-14
4113.2548,3.366081e-14
4115.0006,3.265063e-14
4116.7464,3.279065e-14
4118.4922,3.295068e-14
4120.2379,3.214053e-14
4121.9837,3.163044e-14
4123.7295,3.190049e-14
4125.4753,3.202051e-14
4127.2211,3.169045e-14
4128.9669,3.203051e-14
4130.7127,3.253061e-14
4132.4585,3.191049e-14
4134.2043,3.139039e-14
4135.9500,2.978010e-14
4137.6958,2.905096e-14
4139.4416,2.915098e-14
4141.1874,2.959006e-14
4142.9332,2.975009e-14
4144.6790,2.904096e-14
4146.4248,2.928001e-14
4148.1706,2.954005e-14
4149.9164,2.956006e-14
4151.6622,3.035020e-14
4153.4079,3.132038e-14
4155.1537,3.221055e-14
4156.8995,3.232057e-14
4158.6453,3.227056e-14
4160.3911,3.152042e-14
4162.1369,3.051023e-14
4163.8827,2.983011e-14
4165.6285,2.944004e-14
4167.3743,2.933002e-14
4169.1200,2.885093e-14
4170.8658,2.933002e-14
4172.6116,2.982011e-14
4174.3574,3.128037e-14
4176.1032,3.132038e-14
4177.8490,3.152042e-14
4179.5948,3.171045e-14
4181.3406,3.216054e-14
4183.0864,3.251060e-14
4184.8321,3.228056e-14
4186.5779,3.256061e-14
4188.3237,3.222055e-14
4190.0695,3.220054e-14
4191.8153,3.152042e-14
4193.5611,3.158043e-14
4195.3069,3.208052e-14
4197.0527,3.315072e-14
4198.7985,3.412090e-14
4200.5442,3.428093e-14
4202.2900,3.490004e-14
4204.0358,3.499006e-14
4205.7816,3.485003e-14
4207.5274,3.511008e-14
4209.2732,3.528011e-14
4211.0190,3.588022e-14
4212.7648,3.687041e-14
4214.5106,3.607026e-14
4216.2563,3.468000e-14
4218.0021,3.231057e-14
4219.7479,3.109034e-14
4221.4937,3.094031e-14
4223.2395,3.241058e-14
4224.9853,3.402088e-14
4226.7311,3.510008e-14
4228.4769,3.563018e-14
4230.2227,3.645033e-14
4231.9684,3.751052e-14
4233.7142,3.865073e-14
4235.4600,3.982095e-14
4237.2058,4.037905e-14
4238.9516,4.033905e-14
4240.6974,4.018902e-14
4242.4432,3.917083e-14
4244.1890,3.807063e-14
4245.9348,3.760054e-14
4247.6805,3.695042e-14
4249.4263,3.704044e-14
4251.1721,3.729048e-14
4252.9179,3.756053e-14
4254.6637,3.859072e-14
4256.4095,3.929085e-14
4258.1553,3.972093e-14
4259.9011,3.917083e-14
4261.6469,3.805062e-14
4263.3926,3.625029e-14
4265.1384,3.499006e-14
4266.8842,3.461099e-14
4268.6300,3.504007e-14
4270.3758,3.624029e-14
4272.1216,3.744051e-14
4273.8674,3.814064e-14
4275.6132,3.813064e-14
4277.3590,3.786059e-14
4279.1047,3.777057e-14
4280.8505,3.670038e-14
4282.5963,3.574020e-14
4284.3421,3.572019e-14
4286.0879,3.557017e-14
4287.8337,3.521010e-14
4289.5795,3.414090e-14
4291.3253,3.227056e-14
4293.0711,3.065026e-14
4294.8168,2.943003e-14
4296.5626,2.915098e-14
4298.3084,2.851086e-14
4300.0542,2.899095e-14
4301.8000,2.975009e-14
4303.5458,3.183047e-14
4305.2916,3.529011e-14
4307.0374,3.943088e-14
4308.7832,4.313956e-14
4310.5289,4.585906e-14
4312.2747,4.568903e-14
4314.0205,4.501991e-14
4315.7663,4.367966e-14
4317.5121,4.221939e-14
4319.2579,4.222939e-14
4321.0037,4.295953e-14
4322.7495,4.585906e-14
4324.4953,4.785943e-14
4326.2410,4.875960e-14
4327.9868,4.785943e-14
4329.7326,4.562902e-14
4331.4784,4.437979e-14
4333.2242,4.375968e-14
4334.9700,4.379968e-14
4336.7158,4.464984e-14
4338.4616,4.529996e-14
4340.2074,4.673922e-14
4341.9532,4.737934e-14
4343.6989,4.683924e-14
4345.4447,4.663921e-14
4347.1905,4.706929e-14
4348.9363,4.842954e-14
4350.6821,4.885961e-14
4352.4279,4.968977e-14
4354.1737,5.069995e-14
4355.9195,5.145909e-14
4357.6653,5.240927e-14
4359.4110,5.150910e-14
4361.1568,5.119905e-14
4362.9026,4.952974e-14
4364.6484,4.825951e-14
4366.3942,4.747936e-14
4368.1400,4.600909e-14
4369.8858,4.533997e-14
4371.6316,4.459983e-14
4373.3774,4.357964e-14
4375.1231,4.127922e-14
4376.8689,3.878076e-14
4378.6147,3.946088e-14
4380.3605,4.003099e-14
4382.1063,4.177931e-14
4383.8521,4.313956e-14
4385.5979,4.374968e-14
4387.3437,4.554900e-14
4389.0895,4.660920e-14
4390.8352,4.722931e-14
4392.5810,4.741935e-14
4394.3268,4.699927e-14
4396.0726,4.494989e-14
4397.8184,4.403973e-14
4399.5642,4.402972e-14
4401.3100,4.529996e-14
4403.0558,4.726932e-14
4404.8016,4.906966e-14
4406.5473,5.000983e-14
4408.2931,5.017986e-14
4410.0389,5.033989e-14
4411.7847,4.989981e-14
4413.5305,5.039990e-14
4415.2763,4.991981e-14
4417.0221,4.942972e-14
4418.7679,4.952974e-14
4420.5137,4.953974e-14
4422.2594,4.981979e-14
4424.0052,4.984980e-14
4425.7510,4.984980e-14
4427.4968,4.937971e-14
4429.2426,4.893963e-14
4430.9884,4.946973e-14
4432.7342,5.073996e-14
4434.4800,5.165913e-14
4436.2258,5.257930e-14
4437.9715,5.402957e-14
4439.7173,5.512977e-14
4441.4631,5.405957e-14
4443.2089,5.307939e-14
4444.9547,5.167914e-14
4446.7005,4.973978e-14
4448.4463,4.780942e-14
4450.1921,4.672922e-14
4451.9379,4.651918e-14
4453.6836,4.627914e-14
4455.4294,4.767940e-14
4457.1752,4.965976e-14
4458.9210,5.119905e-14
4460.6668,5.274933e-14
4462.4126,5.420960e-14
4464.1584,5.465968e-14
4465.9042,5.583990e-14
4467.6500,5.635000e-14
4469.3957,5.698912e-14
4471.1415,5.712914e-14
4472.8873,5.549984e-14
4474.6331,5.579989e-14
4476.3789,5.580990e-14
4478.1247,5.562986e-14
4479.8705,5.640901e-14
4481.6163,5.578989e-14
4483.3621,5.417960e-14
4485.1078,5.350947e-14
4486.8536,5.298938e-14
4488.5994,5.372951e-14
4490.3452,5.423961e-14
4492.0910,5.581990e-14
4493.8368,5.757923e-14
4495.5826,5.886946e-14
4497.3284,6.022971e-14
4499.0742,6.119989e-14
4500.8200,6.207905e-14
4502.5657,6.172999e-14
4504.3115,6.014969e-14
4506.0573,6.032973e-14
4507.8031,5.923953e-14
4509.5489,5.923953e-14
4511.2947,5.832936e-14
4513.0405,5.837937e-14
4514.7863,5.685909e-14
4516.5321,5.620997e-14
4518.2778,5.346947e-14
4520.0236,5.134908e-14
4521.7694,4.954974e-14
4523.5152,4.881961e-14
4525.2610,4.928969e-14
4527.0068,5.033989e-14
4528.7526,5.207921e-14
4530.4984,5.355948e-14
4532.2442,5.517978e-14
4533.9899,5.651903e-14
4535.7357,5.619997e-14
4537.4815,5.564987e-14
4539.2273,5.519979e-14
4540.9731,5.444965e-14
4542.7189,5.425961e-14
4544.4647,5.475970e-14
4546.2105,5.596992e-14
4547.9563,5.758923e-14
4549.7020,5.951958e-14
4551.4478,6.150995e-14
4553.1936,6.125990e-14
4554.9394,6.070980e-14
4556.6852,6.017971e-14
4558.4310,5.960960e-14
4560.1768,5.906950e-14
4561.9226,5.913951e-14
4563.6684,5.952958e-14
4565.4141,5.947958e-14
4567.1599,5.910950e-14
4568.9057,5.858941e-14
4570.6515,5.846939e-14
4572.3973,5.824934e-14
4574.1431,5.719915e-14
4575.8889,5.739919e-14
4577.6347,5.633999e-14
4579.3805,5.714914e-14
4581.1262,5.818933e-14
4582.8720,5.865942e-14
4584.6178,5.809932e-14
4586.3636,5.777926e-14
4588.1094,5.710914e-14
4589.8552,5.660904e-14
4591.6010,5.601994e-14
4593.3468,5.699912e-14
4595.0926,5.839937e-14
4596.8383,5.826935e-14
4598.5841,5.889947e-14
4600.3299,5.988965e-14
4602.0757,6.089983e-14
4603.8215,6.160996e-14
4605.5673,6.250913e-14
4607.3131,6.324926e-14
4609.0589,6.316925e-14
4610.8047,6.373936e-14
4612.5504,6.378937e-14
4614.2962,6.455951e-14
4616.0420,6.398940e-14
4617.7878,6.291921e-14
4619.5336,6.262916e-14
4621.2794,6.270917e-14
4623.0252,6.255914e-14
4624.7710,6.280919e-14
4626.5168,6.300922e-14
4628.2625,6.163997e-14
4630.0083,5.995966e-14
4631.7541,5.844939e-14
4633.4999,5.788928e-14
4635.2457,5.782927e-14
4636.9915,5.735918e-14
4638.7373,5.675907e-14
4640.4831,5.635000e-14
4642.2289,5.593992e-14
4643.9746,5.603994e-14
4645.7204,5.769925e-14
4647.4662,5.885946e-14
4649.2120,6.004968e-14
4650.9578,6.015970e-14
4652.7036,6.002967e-14
4654.4494,6.019971e-14
4656.1952,5.956959e-14
4657.9410,5.776926e-14
4659.6867,5.589991e-14
4661.4325,5.433963e-14
4663.1783,5.396956e-14
4664.9241,5.485972e-14
4666.6699,5.625998e-14
4668.4157,5.734918e-14
4670.1615,5.860941e-14
4671.9073,5.770925e-14
4673.6531,5.845939e-14
4675.3988,5.916951e-14
4677.1446,5.861942e-14
4678.8904,5.948958e-14
4680.6362,5.814933e-14
4682.3820,5.867943e-14
4684.1278,5.781927e-14
4685.8736,5.810932e-14
4687.6194,5.743919e-14
4689.3652,5.756922e-14
4691.1110,5.709913e-14
4692.8567,5.694911e-14
4694.6025,5.676907e-14
4696.3483,5.702912e-14
4698.0941,5.675907e-14
4699.8399,5.688910e-14
4701.5857,5.740919e-14
4703.3315,5.808932e-14
4705.0773,5.890947e-14
4706.8231,5.996966e-14
4708.5688,6.086983e-14
4710.3146,6.155996e-14
4712.0604,6.259915e-14
4713.8062,6.355933e-14
4715.5520,6.388938e-14
4717.2978,6.347931e-14
4719.0436,6.226909e-14
4720.7894,6.053977e-14
4722.5352,5.920952e-14
4724.2809,5.868943e-14
4726.0267,5.842938e-14
4727.7725,5.879945e-14
4729.5183,6.033973e-14
4731.2641,6.080982e-14
4733.0099,6.187902e-14
4734.7557,6.239911e-14
4736.5015,6.291921e-14
4738.2473,6.330928e-14
4739.9930,6.490957e-14
4741.7388,6.395940e-14
4743.4846,6.372936e-14
4745.2304,6.271917e-14
4746.9762,6.219907e-14
4748.7220,6.230909e-14
4750.4678,6.167998e-14
4752.2136,6.025972e-14
4753.9594,6.020971e-14
4755.7051,5.953959e-14
4757.4509,5.929954e-14
4759.1967,5.845939e-14
4760.9425,5.858941e-14
4762.6883,5.904949e-14
4764.4341,5.983964e-14
4766.1799,6.038974e-14
4767.9257,6.115989e-14
4769.6715,6.217907e-14
4771.4172,6.339930e-14
4773.1630,6.255914e-14
4774.9088,6.140993e-14
4776.6546,6.103986e-14
4778.4004,6.080982e-14
4780.1462,6.109987e-14
4781.8920,6.137992e-14
4783.6378,6.186901e-14
4785.3836,6.325927e-14
4787.1293,6.366935e-14
4788.8751,6.410942e-14
4790.6209,6.537966e-14
4792.3667,6.568972e-14
4794.1125,6.531965e-14
4795.8583,6.432947e-14
4797.6041,6.409942e-14
4799.3499,6.317925e-14
4801.0957,6.254914e-14
4802.8414,6.278918e-14
4804.5872,6.299922e-14
4806.3330,6.351932e-14
4808.0788,6.354932e-14
4809.8246,6.480955e-14
4811.5704,6.578973e-14
4813.3162,6.589976e-14
4815.0620,6.580974e-14
4816.8078,6.599978e-14
4818.5535,6.407942e-14
4820.2993,6.305923e-14
4822.0451,6.298922e-14
4823.7909,6.254914e-14
4825.5367,6.253914e-14
4827.2825,6.212906e-14
4829.0283,6.164997e-14
4830.7741,6.179900e-14
4832.5199,6.210906e-14
4834.2656,6.233910e-14
4836.0114,6.243912e-14
4837.7572,6.278918e-14
4839.5030,6.294921e-14
4841.2488,6.275918e-14
4842.9946,6.241912e-14
4844.7404,6.189902e-14
4846.4862,6.108987e-14
4848.2320,5.917952e-14
4849.9778,5.708913e-14
4851.7235,5.625998e-14
